,Name,Ability,Ability Description,Extra Ability,Extra Ability Description,Hidden Ability,Hidden Ability Description
411,Bastiodon,Sturdy,It cannot be knocked out with one hit.,,,Soundproof,Gives immunity to sound-based moves.
412,Burmy,Shed Skin,The Pokémon may heal its own status problems.,,,Overcoat,Protects the Pokémon from weather damage.
413,Wormadam,Anticipation,Senses a foe's dangerous moves.,,,Overcoat,Protects the Pokémon from weather damage.
414,Mothim,Swarm,Powers up Bug-type moves in a pinch.,,,Tinted Lens,Powers up “not very effective” moves.
415,Combee,Honey Gather,The Pokémon may gather Honey from somewhere.,,,Hustle,"Boosts the Attack stat, but lowers accuracy."
416,Vespiquen,Pressure,The Pokémon raises the foe's PP usage.,,,Unnerve,Makes the foe nervous and unable to eat Berries.
417,Pachirisu,Run Away,Enables a sure getaway from wild Pokémon.,Pickup,The Pokémon may pick up items.,Volt Absorb,Restores HP if hit by an Electric-type move.
418,Buizel,Swift Swim,Boosts the Pokémon's Speed in rain.,,,Water Veil,Prevents the Pokémon from getting a burn.
419,Floatzel,Swift Swim,Boosts the Pokémon's Speed in rain.,,,Water Veil,Prevents the Pokémon from getting a burn.
420,Cherubi,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,,
421,Cherrim,Flower Gift,Powers up party Pokémon when it is sunny.,,,,
422,Shellos,Sticky Hold,Protects the Pokémon from item theft.,Storm Drain,Draws in all Water-type moves to up Sp. Attack.,Sand Force,Boosts certain moves' power in a sandstorm.
423,Gastrodon,Sticky Hold,Protects the Pokémon from item theft.,Storm Drain,Draws in all Water-type moves to up Sp. Attack.,Sand Force,Boosts certain moves' power in a sandstorm.
424,Ambipom,Technician,Powers up the Pokémon's weaker moves.,Pickup,The Pokémon may pick up items.,Skill Link,Increases the frequency of multi-strike moves.
425,Drifloon,Aftermath,Damages the attacker landing the finishing hit.,Unburden,Raises Speed if a held item is used.,Flare Boost,Powers up special attacks when burned.
426,Drifblim,Aftermath,Damages the attacker landing the finishing hit.,Unburden,Raises Speed if a held item is used.,Flare Boost,Powers up special attacks when burned.
427,Buneary,Run Away,Enables a sure getaway from wild Pokémon.,Klutz,The Pokémon can't use any held items.,Limber,The Pokémon is protected from paralysis.
428,Lopunny,Cute Charm,Contact with the Pokémon may cause infatuation.,Klutz,The Pokémon can't use any held items.,Limber,The Pokémon is protected from paralysis.
429,Mismagius,Levitate,Gives immunity to Ground type moves.,,,,
430,Honchkrow,Insomnia,Prevents the Pokémon from falling asleep.,Super Luck,Heightens the critical-hit ratios of moves.,Moxie,Boosts Attack after knocking out any Pokémon.
431,Glameow,Limber,The Pokémon is protected from paralysis.,Own Tempo,Prevents the Pokémon from becoming confused.,Keen Eye,Prevents other Pokémon from lowering accuracy.
432,Purugly,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Own Tempo,Prevents the Pokémon from becoming confused.,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
433,Chingling,Levitate,Gives immunity to Ground type moves.,,,,
434,Stunky,Stench,The stench may cause the target to flinch.,Aftermath,Damages the attacker landing the finishing hit.,Keen Eye,Prevents other Pokémon from lowering accuracy.
435,Skuntank,Stench,The stench may cause the target to flinch.,Aftermath,Damages the attacker landing the finishing hit.,Keen Eye,Prevents other Pokémon from lowering accuracy.
436,Bronzor,Levitate,Gives immunity to Ground type moves.,Heatproof,Weakens the power of Fire-type moves.,Heavy Metal,Doubles the Pokémon's weight.
437,Bronzong,Levitate,Gives immunity to Ground type moves.,Heatproof,Weakens the power of Fire-type moves.,Heavy Metal,Doubles the Pokémon's weight.
438,Bonsly,Sturdy,It cannot be knocked out with one hit.,Rock Head,Protects the Pokémon from recoil damage.,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
439,Mime Jr.,Soundproof,Gives immunity to sound-based moves.,Filter,Reduces damage from super-effective attacks.,Technician,Powers up the Pokémon's weaker moves.
440,Happiny,Natural Cure,All status problems heal when it switches out.,Serene Grace,Boosts the likelihood of added effects appearing.,Friend Guard,Reduces damage done to allies.
441,Chatot,Keen Eye,Prevents other Pokémon from lowering accuracy.,Tangled Feet,Raises evasion if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering attacks.
442,Spiritomb,Pressure,The Pokémon raises the foe's PP usage.,,,Infiltrator,Passes through the foe's barrier and strikes.
443,Gible,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,,,Rough Skin,Inflicts damage to the attacker on contact.
444,Gabite,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,,,Rough Skin,Inflicts damage to the attacker on contact.
445,Garchomp,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,,,Rough Skin,Inflicts damage to the attacker on contact.
446,Munchlax,Pickup,The Pokémon may pick up items.,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Gluttony,Encourages the early use of a held Berry.
447,Riolu,Steadfast,Raises Speed each time the Pokémon flinches.,Inner Focus,The Pokémon is protected from flinching.,Prankster,Gives priority to a status move.
448,Lucario,Steadfast,Raises Speed each time the Pokémon flinches.,Inner Focus,The Pokémon is protected from flinching.,Justified,Raises Attack when hit by a Dark-type move.
449,Hippopotas,Sand Stream,The Pokémon summons a sandstorm in battle.,,,Sand Force,Boosts certain moves' power in a sandstorm.
450,Hippowdon,Sand Stream,The Pokémon summons a sandstorm in battle.,,,Sand Force,Boosts certain moves' power in a sandstorm.
451,Skorupi,Battle Armor,The Pokémon is protected against critical hits.,Sniper,Powers up moves if they become critical hits.,Keen Eye,Prevents other Pokémon from lowering accuracy.
452,Drapion,Battle Armor,The Pokémon is protected against critical hits.,Sniper,Powers up moves if they become critical hits.,Keen Eye,Prevents other Pokémon from lowering accuracy.
453,Croagunk,Anticipation,Senses a foe's dangerous moves.,Dry Skin,Reduces HP if it is hot. Water restores HP.,Poison Touch,May poison targets when a Pokémon makes contact.
454,Toxicroak,Anticipation,Senses a foe's dangerous moves.,Dry Skin,Reduces HP if it is hot. Water restores HP.,Poison Touch,May poison targets when a Pokémon makes contact.
455,Carnivine,Levitate,Gives immunity to Ground type moves.,,,,
456,Finneon,Swift Swim,Boosts the Pokémon's Speed in rain.,Storm Drain,Draws in all Water-type moves to up Sp. Attack.,Water Veil,Prevents the Pokémon from getting a burn.
457,Lumineon,Swift Swim,Boosts the Pokémon's Speed in rain.,Storm Drain,Draws in all Water-type moves to up Sp. Attack.,Water Veil,Prevents the Pokémon from getting a burn.
458,Mantyke,Swift Swim,Boosts the Pokémon's Speed in rain.,Water Absorb,Restores HP if hit by a Water-type move.,Water Veil,Prevents the Pokémon from getting a burn.
459,Snover,Snow Warning,The Pokémon summons a hailstorm in battle.,,,Soundproof,Gives immunity to sound-based moves.
460,Abomasnow,Snow Warning,The Pokémon summons a hailstorm in battle.,,,Soundproof,Gives immunity to sound-based moves.
461,Weavile,Pressure,The Pokémon raises the foe's PP usage.,,,Pickpocket,Steals an item when hit by another Pokémon.
462,Magnezone,Magnet Pull,Prevents Steel-type Pokémon from escaping.,Sturdy,It cannot be knocked out with one hit.,Analytic,Boosts move power when the Pokémon moves last.
463,Lickilicky,Own Tempo,Prevents the Pokémon from becoming confused.,Oblivious,Prevents it from becoming infatuated.,Cloud Nine,Eliminates the effects of weather.
464,Rhyperior,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Solid Rock,Reduces damage from super-effective attacks.,Reckless,Powers up moves that have recoil damage.
465,Tangrowth,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Leaf Guard,Prevents problems with status in sunny weather.,Regenerator,Restores a little HP when withdrawn from battle.
466,Electivire,Motor Drive,Raises Speed if hit by an Electric-type move.,,,Vital Spirit,Prevents the Pokémon from falling asleep.
467,Magmortar,Flame Body,Contact with the Pokémon may burn the attacker.,,,Vital Spirit,Prevents the Pokémon from falling asleep.
468,Togekiss,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of added effects appearing.,Super Luck,Heightens the critical-hit ratios of moves.
469,Yanmega,Speed Boost,Its Speed stat is gradually boosted.,Tinted Lens,Powers up “not very effective” moves.,Frisk,The Pokémon can check a foe's held item.
470,Leafeon,Leaf Guard,Prevents problems with status in sunny weather.,,,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
471,Glaceon,Snow Cloak,Raises evasion in a hailstorm.,,,Ice Body,The Pokémon gradually regains HP in a hailstorm.
472,Gliscor,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,Poison Heal,Restores HP if the Pokémon is poisoned.
473,Mamoswine,Oblivious,Prevents it from becoming infatuated.,Snow Cloak,Raises evasion in a hailstorm.,Thick Fat,Ups resistance to Fire- and Ice-type moves.
474,Porygon-Z,Adaptability,Powers up moves of the same type.,Download,Adjusts power according to a foe's defenses.,Analytic,Boosts move power when the Pokémon moves last.
475,Gallade,Steadfast,Raises Speed each time the Pokémon flinches.,Sharpness,Powers up slicing moves.,Justified,Raises Attack when hit by a Dark-type move.
476,Probopass,Sturdy,It cannot be knocked out with one hit.,Magnet Pull,Prevents Steel-type Pokémon from escaping.,Sand Force,Boosts certain moves' power in a sandstorm.
477,Dusknoir,Pressure,The Pokémon raises the foe's PP usage.,,,Frisk,The Pokémon can check a foe's held item.
478,Froslass,Snow Cloak,Raises evasion in a hailstorm.,,,Cursed Body,May disable a move used on the Pokémon.
479,Rotom,Levitate,Gives immunity to Ground type moves.,,,,
480,Uxie,Levitate,Gives immunity to Ground type moves.,,,,
481,Mesprit,Levitate,Gives immunity to Ground type moves.,,,,
482,Azelf,Levitate,Gives immunity to Ground type moves.,,,,
483,Dialga,Pressure,The Pokémon raises the foe's PP usage.,,,Telepathy,Anticipates an ally's attack and dodges it.
484,Palkia,Pressure,The Pokémon raises the foe's PP usage.,,,Telepathy,Anticipates an ally's attack and dodges it.
485,Heatran,Flash Fire,It powers up Fire-type moves if it's hit by one.,,,Flame Body,Contact with the Pokémon may burn the attacker.
486,Regigigas,Slow Start,Temporarily halves Attack and Speed.,,,,
487,Giratina,Pressure,The Pokémon raises the foe's PP usage.,,,Telepathy,Anticipates an ally's attack and dodges it.
488,Cresselia,Levitate,Gives immunity to Ground type moves.,,,,
489,Phione,Hydration,Heals status problems if it is raining.,,,,
490,Manaphy,Hydration,Heals status problems if it is raining.,,,,
491,Darkrai,Bad Dreams,Reduces a sleeping foe's HP.,,,,
492,Shaymin,Natural Cure,All status problems heal when it switches out.,,,,
493,Arceus,Multitype,Changes type to match the held Plate.,,,,
494,Victini,Victory Star,Boosts the accuracy of its allies and itself.,,,,
495,Snivy,Overgrow,Powers up Grass-type moves in a pinch.,,,Contrary,Makes stat changes have an opposite effect.
496,Servine,Overgrow,Powers up Grass-type moves in a pinch.,,,Contrary,Makes stat changes have an opposite effect.
497,Serperior,Overgrow,Powers up Grass-type moves in a pinch.,,,Contrary,Makes stat changes have an opposite effect.
498,Tepig,Blaze,Powers up Fire-type moves in a pinch.,,,Thick Fat,Ups resistance to Fire- and Ice-type moves.
499,Pignite,Blaze,Powers up Fire-type moves in a pinch.,,,Thick Fat,Ups resistance to Fire- and Ice-type moves.
500,Emboar,Blaze,Powers up Fire-type moves in a pinch.,,,Reckless,Powers up moves that have recoil damage.
501,Oshawott,Torrent,Powers up Water-type moves in a pinch.,,,Shell Armor,The Pokémon is protected against critical hits.
502,Dewott,Torrent,Powers up Water-type moves in a pinch.,,,Shell Armor,The Pokémon is protected against critical hits.
503,Samurott,Torrent,Powers up Water-type moves in a pinch.,,,Shell Armor,The Pokémon is protected against critical hits.
504,Patrat,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Prevents other Pokémon from lowering accuracy.,Analytic,Boosts move power when the Pokémon moves last.
505,Watchog,Illuminate,Raises the likelihood of meeting wild Pokémon.,Keen Eye,Prevents other Pokémon from lowering accuracy.,Analytic,Boosts move power when the Pokémon moves last.
506,Lillipup,Vital Spirit,Prevents the Pokémon from falling asleep.,Pickup,The Pokémon may pick up items.,Run Away,Enables a sure getaway from wild Pokémon.
507,Herdier,Intimidate,Lowers the foe's Attack stat.,Sand Rush,Boosts the Pokémon's Speed in a sandstorm.,Scrappy,Enables moves to hit Ghost-type Pokémon.
508,Stoutland,Intimidate,Lowers the foe's Attack stat.,Sand Rush,Boosts the Pokémon's Speed in a sandstorm.,Scrappy,Enables moves to hit Ghost-type Pokémon.
509,Purrloin,Limber,The Pokémon is protected from paralysis.,Unburden,Raises Speed if a held item is used.,Prankster,Gives priority to a status move.
510,Liepard,Limber,The Pokémon is protected from paralysis.,Unburden,Raises Speed if a held item is used.,Prankster,Gives priority to a status move.
511,Pansage,Gluttony,Encourages the early use of a held Berry.,,,Overgrow,Powers up Grass-type moves in a pinch.
512,Simisage,Gluttony,Encourages the early use of a held Berry.,,,Overgrow,Powers up Grass-type moves in a pinch.
513,Pansear,Gluttony,Encourages the early use of a held Berry.,,,Blaze,Powers up Fire-type moves in a pinch.
514,Simisear,Gluttony,Encourages the early use of a held Berry.,,,Blaze,Powers up Fire-type moves in a pinch.
515,Panpour,Gluttony,Encourages the early use of a held Berry.,,,Torrent,Powers up Water-type moves in a pinch.
516,Simipour,Gluttony,Encourages the early use of a held Berry.,,,Torrent,Powers up Water-type moves in a pinch.
517,Munna,Forewarn,Determines what moves a foe has.,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Telepathy,Anticipates an ally's attack and dodges it.
518,Musharna,Forewarn,Determines what moves a foe has.,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Telepathy,Anticipates an ally's attack and dodges it.
519,Pidove,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,Super Luck,Heightens the critical-hit ratios of moves.,Rivalry,Deals more damage to a Pokémon of same gender.
520,Tranquill,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,Super Luck,Heightens the critical-hit ratios of moves.,Rivalry,Deals more damage to a Pokémon of same gender.
521,Unfezant,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,Super Luck,Heightens the critical-hit ratios of moves.,Rivalry,Deals more damage to a Pokémon of same gender.
522,Blitzle,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Motor Drive,Raises Speed if hit by an Electric-type move.,Sap Sipper,Boosts Attack when hit by a Grass-type move.
523,Zebstrika,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Motor Drive,Raises Speed if hit by an Electric-type move.,Sap Sipper,Boosts Attack when hit by a Grass-type move.
524,Roggenrola,Sturdy,It cannot be knocked out with one hit.,Weak Armor,Physical attacks lower Defense and raise Speed.,Sand Force,Boosts certain moves' power in a sandstorm.
525,Boldore,Sturdy,It cannot be knocked out with one hit.,Weak Armor,Physical attacks lower Defense and raise Speed.,Sand Force,Boosts certain moves' power in a sandstorm.
526,Gigalith,Sturdy,It cannot be knocked out with one hit.,Sand Stream,The Pokémon summons a sandstorm in battle.,Sand Force,Boosts certain moves' power in a sandstorm.
527,Woobat,Unaware,Ignores any stat changes in the Pokémon.,Klutz,The Pokémon can't use any held items.,Simple,Doubles all stat changes.
528,Swoobat,Unaware,Ignores any stat changes in the Pokémon.,Klutz,The Pokémon can't use any held items.,Simple,Doubles all stat changes.
529,Drilbur,Sand Rush,Boosts the Pokémon's Speed in a sandstorm.,Sand Force,Boosts certain moves' power in a sandstorm.,Mold Breaker,Moves can be used regardless of Abilities.
530,Excadrill,Sand Rush,Boosts the Pokémon's Speed in a sandstorm.,Sand Force,Boosts certain moves' power in a sandstorm.,Mold Breaker,Moves can be used regardless of Abilities.
531,Audino,Healer,May heal an ally's status conditions.,Regenerator,Restores a little HP when withdrawn from battle.,Klutz,The Pokémon can't use any held items.
532,Timburr,Guts,Boosts Attack if there is a status problem.,Sheer Force,Removes added effects to increase move damage.,Iron Fist,Boosts the power of punching moves.
533,Gurdurr,Guts,Boosts Attack if there is a status problem.,Sheer Force,Removes added effects to increase move damage.,Iron Fist,Boosts the power of punching moves.
534,Conkeldurr,Guts,Boosts Attack if there is a status problem.,Sheer Force,Removes added effects to increase move damage.,Iron Fist,Boosts the power of punching moves.
535,Tympole,Swift Swim,Boosts the Pokémon's Speed in rain.,Hydration,Heals status problems if it is raining.,Water Absorb,Restores HP if hit by a Water-type move.
536,Palpitoad,Swift Swim,Boosts the Pokémon's Speed in rain.,Hydration,Heals status problems if it is raining.,Water Absorb,Restores HP if hit by a Water-type move.
537,Seismitoad,Swift Swim,Boosts the Pokémon's Speed in rain.,Poison Touch,May poison targets when a Pokémon makes contact.,Water Absorb,Restores HP if hit by a Water-type move.
538,Throh,Guts,Boosts Attack if there is a status problem.,Inner Focus,The Pokémon is protected from flinching.,Mold Breaker,Moves can be used regardless of Abilities.
539,Sawk,Sturdy,It cannot be knocked out with one hit.,Inner Focus,The Pokémon is protected from flinching.,Mold Breaker,Moves can be used regardless of Abilities.
540,Sewaddle,Swarm,Powers up Bug-type moves in a pinch.,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Overcoat,Protects the Pokémon from weather damage.
541,Swadloon,Leaf Guard,Prevents problems with status in sunny weather.,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Overcoat,Protects the Pokémon from weather damage.
542,Leavanny,Swarm,Powers up Bug-type moves in a pinch.,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Overcoat,Protects the Pokémon from weather damage.
543,Venipede,Poison Point,Contact with the Pokémon may poison the attacker.,Swarm,Powers up Bug-type moves in a pinch.,Speed Boost,Its Speed stat is gradually boosted.
544,Whirlipede,Poison Point,Contact with the Pokémon may poison the attacker.,Swarm,Powers up Bug-type moves in a pinch.,Speed Boost,Its Speed stat is gradually boosted.
545,Scolipede,Poison Point,Contact with the Pokémon may poison the attacker.,Swarm,Powers up Bug-type moves in a pinch.,Speed Boost,Its Speed stat is gradually boosted.
546,Cottonee,Prankster,Gives priority to a status move.,Infiltrator,Passes through the foe's barrier and strikes.,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
547,Whimsicott,Prankster,Gives priority to a status move.,Infiltrator,Passes through the foe's barrier and strikes.,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
548,Petilil,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Own Tempo,Prevents the Pokémon from becoming confused.,Leaf Guard,Prevents problems with status in sunny weather.
549,Lilligant,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Own Tempo,Prevents the Pokémon from becoming confused.,Leaf Guard,Prevents problems with status in sunny weather.
550,Basculin,Reckless,Powers up moves that have recoil damage.,Adaptability,Powers up moves of the same type.,Mold Breaker,Moves can be used regardless of Abilities.
551,Sandile,Intimidate,Lowers the foe's Attack stat.,Moxie,Boosts Attack after knocking out any Pokémon.,Anger Point,Maxes Attack after taking a critical hit.
552,Krokorok,Intimidate,Lowers the foe's Attack stat.,Moxie,Boosts Attack after knocking out any Pokémon.,Anger Point,Maxes Attack after taking a critical hit.
553,Krookodile,Intimidate,Lowers the foe's Attack stat.,Moxie,Boosts Attack after knocking out any Pokémon.,Anger Point,Maxes Attack after taking a critical hit.
554,Darumaka,Hustle,"Boosts the Attack stat, but lowers accuracy.",,,Inner Focus,The Pokémon is protected from flinching.
555,Darmanitan,Sheer Force,Removes added effects to increase move damage.,,,Zen Mode,Changes form when HP drops below half.
556,Maractus,Water Absorb,Restores HP if hit by a Water-type move.,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Storm Drain,Draws in all Water-type moves to up Sp. Attack.
557,Dwebble,Sturdy,It cannot be knocked out with one hit.,Shell Armor,The Pokémon is protected against critical hits.,Weak Armor,Physical attacks lower Defense and raise Speed.
558,Crustle,Sturdy,It cannot be knocked out with one hit.,Shell Armor,The Pokémon is protected against critical hits.,Weak Armor,Physical attacks lower Defense and raise Speed.
559,Scraggy,Shed Skin,The Pokémon may heal its own status problems.,Moxie,Boosts Attack after knocking out any Pokémon.,Intimidate,Lowers the foe's Attack stat.
560,Scrafty,Shed Skin,The Pokémon may heal its own status problems.,Moxie,Boosts Attack after knocking out any Pokémon.,Intimidate,Lowers the foe's Attack stat.
561,Sigilyph,Wonder Skin,Makes status-changing moves more likely to miss.,Magic Guard,Protects the Pokémon from indirect damage.,Tinted Lens,Powers up “not very effective” moves.
562,Yamask,Mummy,Contact with this Pokémon spreads this Ability.,,,,
563,Cofagrigus,Mummy,Contact with this Pokémon spreads this Ability.,,,,
564,Tirtouga,Solid Rock,Reduces damage from super-effective attacks.,Sturdy,It cannot be knocked out with one hit.,Swift Swim,Boosts the Pokémon's Speed in rain.
565,Carracosta,Solid Rock,Reduces damage from super-effective attacks.,Sturdy,It cannot be knocked out with one hit.,Swift Swim,Boosts the Pokémon's Speed in rain.
566,Archen,Defeatist,Lowers stats when HP drops below half.,,,,
567,Archeops,Defeatist,Lowers stats when HP drops below half.,,,,
568,Trubbish,Stench,The stench may cause the target to flinch.,Sticky Hold,Protects the Pokémon from item theft.,Aftermath,Damages the attacker landing the finishing hit.
569,Garbodor,Stench,The stench may cause the target to flinch.,Weak Armor,Physical attacks lower Defense and raise Speed.,Aftermath,Damages the attacker landing the finishing hit.
570,Zorua,Illusion,Enters battle disguised as the last Pokémon in the party.,,,,
571,Zoroark,Illusion,Enters battle disguised as the last Pokémon in the party.,,,,
572,Minccino,Cute Charm,Contact with the Pokémon may cause infatuation.,Technician,Powers up the Pokémon's weaker moves.,Skill Link,Increases the frequency of multi-strike moves.
573,Cinccino,Cute Charm,Contact with the Pokémon may cause infatuation.,Technician,Powers up the Pokémon's weaker moves.,Skill Link,Increases the frequency of multi-strike moves.
574,Gothita,Frisk,The Pokémon can check a foe's held item.,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,Shadow Tag,Prevents the foe from escaping.
575,Gothorita,Frisk,The Pokémon can check a foe's held item.,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,Shadow Tag,Prevents the foe from escaping.
576,Gothitelle,Frisk,The Pokémon can check a foe's held item.,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,Shadow Tag,Prevents the foe from escaping.
577,Solosis,Overcoat,Protects the Pokémon from weather damage.,Magic Guard,Protects the Pokémon from indirect damage.,Regenerator,Restores a little HP when withdrawn from battle.
578,Duosion,Overcoat,Protects the Pokémon from weather damage.,Magic Guard,Protects the Pokémon from indirect damage.,Regenerator,Restores a little HP when withdrawn from battle.
579,Reuniclus,Overcoat,Protects the Pokémon from weather damage.,Magic Guard,Protects the Pokémon from indirect damage.,Regenerator,Restores a little HP when withdrawn from battle.
580,Ducklett,Keen Eye,Prevents other Pokémon from lowering accuracy.,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,Hydration,Heals status problems if it is raining.
581,Swanna,Keen Eye,Prevents other Pokémon from lowering accuracy.,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,Hydration,Heals status problems if it is raining.
582,Vanillite,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Snow Cloak,Raises evasion in a hailstorm.,Weak Armor,Physical attacks lower Defense and raise Speed.
583,Vanillish,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Snow Cloak,Raises evasion in a hailstorm.,Weak Armor,Physical attacks lower Defense and raise Speed.
584,Vanilluxe,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Snow Warning,The Pokémon summons a hailstorm in battle.,Weak Armor,Physical attacks lower Defense and raise Speed.
585,Deerling,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Sap Sipper,Boosts Attack when hit by a Grass-type move.,Serene Grace,Boosts the likelihood of added effects appearing.
586,Sawsbuck,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Sap Sipper,Boosts Attack when hit by a Grass-type move.,Serene Grace,Boosts the likelihood of added effects appearing.
587,Emolga,Static,Contact with the Pokémon may cause paralysis.,,,Motor Drive,Raises Speed if hit by an Electric-type move.
588,Karrablast,Swarm,Powers up Bug-type moves in a pinch.,Shed Skin,The Pokémon may heal its own status problems.,No Guard,Ensures attacks by or against the Pokémon land.
589,Escavalier,Swarm,Powers up Bug-type moves in a pinch.,Shell Armor,The Pokémon is protected against critical hits.,Overcoat,Protects the Pokémon from weather damage.
590,Foongus,Effect Spore,Contact may poison or cause paralysis or sleep.,,,Regenerator,Restores a little HP when withdrawn from battle.
591,Amoonguss,Effect Spore,Contact may poison or cause paralysis or sleep.,,,Regenerator,Restores a little HP when withdrawn from battle.
592,Frillish,Water Absorb,Restores HP if hit by a Water-type move.,Cursed Body,May disable a move used on the Pokémon.,Damp,Prevents the use of self-destructing moves.
593,Jellicent,Water Absorb,Restores HP if hit by a Water-type move.,Cursed Body,May disable a move used on the Pokémon.,Damp,Prevents the use of self-destructing moves.
594,Alomomola,Healer,May heal an ally's status conditions.,Hydration,Heals status problems if it is raining.,Regenerator,Restores a little HP when withdrawn from battle.
595,Joltik,Compound Eyes,The Pokémon's accuracy is boosted.,Unnerve,Makes the foe nervous and unable to eat Berries.,Swarm,Powers up Bug-type moves in a pinch.
596,Galvantula,Compound Eyes,The Pokémon's accuracy is boosted.,Unnerve,Makes the foe nervous and unable to eat Berries.,Swarm,Powers up Bug-type moves in a pinch.
597,Ferroseed,Iron Barbs,Inflicts damage to the Pokémon on contact.,,,,
598,Ferrothorn,Iron Barbs,Inflicts damage to the Pokémon on contact.,,,Anticipation,Senses a foe's dangerous moves.
599,Klink,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.,Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.,Clear Body,Prevents other Pokémon from lowering its stats.
600,Klang,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.,Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.,Clear Body,Prevents other Pokémon from lowering its stats.
601,Klinklang,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.,Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.,Clear Body,Prevents other Pokémon from lowering its stats.
602,Tynamo,Levitate,Gives immunity to Ground type moves.,,,,
603,Eelektrik,Levitate,Gives immunity to Ground type moves.,,,,
604,Eelektross,Levitate,Gives immunity to Ground type moves.,,,,
605,Elgyem,Telepathy,Anticipates an ally's attack and dodges it.,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Analytic,Boosts move power when the Pokémon moves last.
606,Beheeyem,Telepathy,Anticipates an ally's attack and dodges it.,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Analytic,Boosts move power when the Pokémon moves last.
607,Litwick,Flash Fire,It powers up Fire-type moves if it's hit by one.,Flame Body,Contact with the Pokémon may burn the attacker.,Infiltrator,Passes through the foe's barrier and strikes.
608,Lampent,Flash Fire,It powers up Fire-type moves if it's hit by one.,Flame Body,Contact with the Pokémon may burn the attacker.,Infiltrator,Passes through the foe's barrier and strikes.
609,Chandelure,Flash Fire,It powers up Fire-type moves if it's hit by one.,Flame Body,Contact with the Pokémon may burn the attacker.,Infiltrator,Passes through the foe's barrier and strikes.
610,Axew,Rivalry,Deals more damage to a Pokémon of same gender.,Mold Breaker,Moves can be used regardless of Abilities.,Unnerve,Makes the foe nervous and unable to eat Berries.
611,Fraxure,Rivalry,Deals more damage to a Pokémon of same gender.,Mold Breaker,Moves can be used regardless of Abilities.,Unnerve,Makes the foe nervous and unable to eat Berries.
612,Haxorus,Rivalry,Deals more damage to a Pokémon of same gender.,Mold Breaker,Moves can be used regardless of Abilities.,Unnerve,Makes the foe nervous and unable to eat Berries.
613,Cubchoo,Snow Cloak,Raises evasion in a hailstorm.,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
614,Beartic,Snow Cloak,Raises evasion in a hailstorm.,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,Swift Swim,Boosts the Pokémon's Speed in rain.
615,Cryogonal,Levitate,Gives immunity to Ground type moves.,,,,
